id,num_of_passes,diffTime,average
2200,100,3196,3158
2201,100,3195,3158
2202,100,3105,3157
2203,100,3151,3157
2204,100,3120,3157
2205,100,3091,3157
2206,100,3090,3157
2207,100,3075,3157
2208,100,3061,3157
2209,100,3090,3157
2210,100,3091,3157
2211,100,3120,3157
2212,100,3105,3157
2213,100,3165,3157
2214,100,3180,3157
2215,100,3151,3157
2216,100,3150,3157
2217,100,3211,3157
2218,100,3165,3157
2219,100,3135,3157
2220,100,3166,3157
2221,100,3120,3157
2222,100,3166,3157
2223,100,3210,3157
2224,100,3090,3157
2225,100,3091,3157
2226,100,3075,3157
2227,100,3121,3157
2228,100,3180,3157
2229,100,3105,3157
2230,100,3226,3157
2231,100,3120,3157
2232,100,3181,3157
2233,100,3150,3157
2234,100,3120,3157
2235,100,3135,3157
2236,100,3120,3157
2237,100,3121,3157
2238,100,3105,3157
2239,100,3121,3157
2240,100,3060,3157
2241,100,3135,3157
2242,100,3106,3157
2243,100,3165,3157
2244,100,3196,3157
2245,100,3150,3157
2246,100,3135,3157
2247,100,3121,3157
2248,100,3165,3157
2249,100,3196,3157
2250,100,3090,3157
2251,100,3210,3157
2252,100,3075,3157
2253,100,3135,3157
2254,100,3136,3157
2255,100,3060,3157
2256,100,3135,3157
2257,100,3105,3157
2258,100,3120,3157
2259,100,3076,3157
2260,100,3105,3157
2261,100,3166,3157
2262,100,3120,3157
2263,100,3135,3157
2264,100,3166,3157
2265,100,3180,3157
2266,100,3181,3157
2267,100,3195,3157
2268,100,3240,3157
2269,100,3151,3157
2270,100,3210,3157
2271,100,3091,3157
2272,100,3120,3157
2273,100,3075,3157
2274,100,3075,3157
2275,100,3120,3157
2276,100,3076,3157
2277,100,3090,3157
2278,100,3060,3157
2279,100,3105,3157
2280,100,3135,3157
2281,100,3076,3157
2282,100,3135,3157
2283,100,3181,3157
2284,100,3165,3157
2285,100,3195,3157
2286,100,3196,3157
2287,100,3255,3157
2288,100,3091,3157
2289,100,3120,3157
2290,100,3150,3157
2291,100,3091,3157
2292,100,3045,3156
2293,100,3061,3156
2294,100,3135,3156
2295,100,3060,3156
2296,100,3151,3156
2297,100,3120,3156
2298,100,3091,3156
2299,100,3090,3156
2300,100,3075,3156
2301,100,3135,3156
2302,100,3240,3156
2303,100,3181,3156
2304,100,3255,3156
2305,100,3256,3156
2306,100,3120,3156
2307,100,3090,3156
2308,100,3151,3156
2309,100,3105,3156
2310,100,3061,3156
2311,100,3060,3156
2312,100,3075,3156
2313,100,3106,3156
2314,100,3165,3156
2315,100,3121,3156
2316,100,3105,3156
2317,100,3105,3156
2318,100,3181,3156
2319,100,3150,3156
2320,100,3106,3156
2321,100,3135,3156
2322,100,3165,3156
2323,100,3195,3156
2324,100,3300,3156
2325,100,3136,3156
2326,100,3195,3156
2327,100,3151,3156
2328,100,3135,3156
2329,100,3060,3156
